Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize
student_analysis(numbers),3,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.3324905962384939,2.319115248298105,99.99999999999991,99.99999999999996,3.2835284022532844E-8,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),3,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,4.942770448179272,15.826159680489472,107.98851492686198,101.97531893841847,-0.19587264728497797,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.328,0.0,0.015600099999999999,0.0,15.6001,0.0,4529.0,23832.0,4462.0,NaN,NaN,?,15.0
student_analysis(numbers),3,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,1.1626146458583453,1.320442486652801,100.0,99.99999999999999,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.265,0.0,0.015600099999999999,0.0,15.6001,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
student_analysis(numbers),3,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.414868243243243,1.6053230567991645,99.99999999999997,99.99999999999996,4.877173652976429E-8,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),3,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.0068243243243247,1.1799639852868995,99.99999999999989,99.9999999999999,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),3,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.0072972972972947,1.2649110789374456,99.99999999999943,99.9999999999995,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),3,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,0.9154831081081078,1.2161549452284055,99.99999999999991,99.99999999999993,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),3,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,5.061033783783783,16.74971414938757,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),3,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,148.0,16.0,1.198695945945946,1.3470464211110902,99.99999999999987,99.9999999999999,1.6953366189552262E-7,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23981.0,4313.0,NaN,NaN,?,1.0
student_analysis(numbers),4,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,2.0200816102700002E7,147.0,17.0,0.9236694677871147,1.0844909130476197,100.0,100.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2655.0,23832.0,4462.0,NaN,NaN,?,1.0
