Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
student_analysis(numbers),3,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.9814846077073867,2.5059471870088332,148.70533520468703,108.05617309652185,0.3472148552434456,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),3,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,5.433623535464192,15.90803715025223,118.71256058079062,102.50289361613521,-0.2259400386864059,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),3,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.83904641742666,2.1204495500502336,158.18194136621364,160.58628614907536,-0.3583774769403493,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),3,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,3.117156767122475,4.744493537426664,220.31427887427503,295.5475857231288,0.5427890880875704,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),3,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.680916789841309,2.1915295481560175,166.95234205524017,185.7285116734441,-0.3466998889986059,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),3,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.9212775061233898,2.3916285201073118,190.73589408791307,189.07483379118815,-0.4822659157916891,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),3,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.2934147250599672,1.7782667721054366,141.2822053847474,146.2204120521386,-0.17492819415037186,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.0,0.015600099999999999,0.0,15.6001,0.0,6429.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),3,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,5.331049491088946,17.351566746706332,105.33518879424058,103.59321115543197,-0.6039924167321756,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),3,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.8833148807484028,2.1511770345366856,157.1136439660009,159.69583533448824,-0.08263133719987953,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),4,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,2.5831911071873708,4.350613569293493,279.6661790040611,401.1664382753993,0.46137983876763455,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),4,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.4340803168649772,1.5897328769009482,157.76023601506165,151.22497886463077,0.044827712217839606,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),4,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.8093367973712686,2.47960965423548,120.96225107828049,101.65390175231734,0.05588381510124705,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),4,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,8.598815637310278,22.618824671482646,102.05935620539987,100.08798666426303,0.03956213967827908,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.0,0.015600099999999999,0.0,15.6001,0.0,6453.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),4,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,2.5879123993742237,3.016002502886911,168.7771435213852,177.27961067166282,-0.057847561989520714,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),4,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,2.1692569198908576,2.6392271088469714,146.25192142978665,105.8032676676341,0.17478654713857203,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),4,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,3.2736069484786343,4.6106204711344665,163.6076636139141,143.64920039452858,-0.45814636984466467,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),4,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.6108449797506412,2.057058037410639,180.61741739473598,192.90167907450936,-0.17426379058073097,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),4,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,2.3410126528678177,2.809577077829258,159.4445750188388,165.1885646939139,-0.07998836574588415,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),4,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,148.0,16.0,1.737422617076179,2.2891633150968556,187.6013083629294,211.9173513719854,-0.4876474308720167,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23981.0,4313.0,NaN,NaN,?
student_analysis(numbers),5,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,2.0722215695978443,2.5131296393233646,194.80558128990901,193.72977922101882,-0.3768846185490672,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.016,0.0,0.015600099999999999,0.0,15.6001,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),5,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,6.287590260983542,17.292061790173268,116.64605650254629,104.5971305121273,-0.3511133956412997,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),5,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,1.8113009405871257,2.341331859783423,206.15982755163876,218.3582090896664,-0.3570318169652186,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
student_analysis(numbers),5,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.02008161133E7,147.0,17.0,2.3693737880005337,2.6368222169864817,203.40326912671637,199.88104515013617,-0.6227251642804477,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,6437.0,23832.0,4462.0,NaN,NaN,?
